text,true_label,pred_prob,pred_label,pred_cat
 This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011.		,0,0.0003771039,0.0,假新闻
 A video shows people screaming in Wuhan because they feared the coronavirus.		,0,0.00037979704,0.0,假新闻
 Garlic water can cure novel coronavirus.		,0,0.00043158483,0.0,假新闻
 There is a case of coronavirus in Caserta.		,0,0.0003815163,0.0,假新闻
 There is a case of coronavirus in Andorra.		,0,0.0003815163,0.0,假新闻
" Silver Solution used on strains of coronavirus ""totally eliminates it. Kills it. Deactivates it.""		",0,0.00044107647,0.0,假新闻
" This is a person with coronavirus in Calella, Barcelona (2/13/20).		",0,0.00041142115,0.0,假新闻
 A video shows police killing COVID-19 affected people in China.		,0,0.00041517068,0.0,假新闻
 A video shows a Chinese epidemiologist saying there are millions of people infected.		,0,0.00038343781,0.0,假新闻
 There is a COVID-19 case in east Indian state.		,0,0.0004323766,0.0,假新闻
" A video shows a massive explosion in Wuhan, China, to control the spread of coronavirus.		",0,0.0004210713,0.0,假新闻
 Black skin is resistant to coronavirus.		,0,0.00043620975,0.0,假新闻
 This bottle of disinfectant gel proves that the coronavirus existed before 2019.		,0,0.00043560116,0.0,假新闻
" Seven children died from coronavirus within one week in Karimganj (Assam, India).		",0,0.00044967892,0.0,假新闻
 This video shows corpses on the streets of Wuhan.		,0,0.00035781335,0.0,假新闻
" A video says ""the coronavirus was invented and patented in the USA and then planted in China.""		",0,0.0004165687,0.0,假新闻
 Studies show the coronavirus was engineered to be a bioweapon.		,0,0.00041188364,0.0,假新闻
 Video shows racist reactions toward Asian people.		,0,0.00042130868,0.0,假新闻
" Post says ""people of color may be immune to the coronavirus because of melanin.""		",0,0.00040379196,0.0,假新闻
" Years ago, there was a hand sanitizer active against Sars-Cov-2.		",0,0.00042526386,0.0,假新闻
" ""The coronavirus is the common cold, folks.""		",0,0.0004324249,0.0,假新闻
 Video of a road traffic control in China to detect people infected with coronavirus.		,0,0.00041961175,0.0,假新闻
 Coronavirus is a bioweapon leaked from a Wuhan lab.		,0,0.00044733114,0.0,假新闻
 President Trump claims the virus is under control and testing is available.		,0,0.00039611754,0.0,假新闻
 Is it useful to close borders to stop the outbreak?		,0,0.0004237716,0.0,假新闻
 A man is allegedly selling medical masks for 80 denars on a bus owned by the Skopje Public Transportation Enterprise.		,0,0.00042126572,0.0,假新闻
 Letters and packages sent from China can cause coronavirus infection.		,0,0.00042999286,0.0,假新闻
 Face masks are a good protection against the coronavirus.		,0,0.00041085345,0.0,假新闻
 The CDC recommends men shave their beards to protect against coronavirus.		,0,0.00044815955,0.0,假新闻
 A video accompanying a claim shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.		,0,0.00038617032,0.0,假新闻
 Video shows Chinese officials detaining an infected citizen who refused to be tested.		,0,0.0004284684,0.0,假新闻
 There is a new case of COVID-19 in Saced¢n (Spain).		,0,0.00043514278,0.0,假新闻
 An article in El Pais says there is a case of coronavirus at the School of Architecture of Madrid.		,0,0.00042105722,0.0,假新闻
 Beef meat is the best vaccine against COVID-19.		,0,0.00044811468,0.0,假新闻
 It is best to shave your beard to avoid being infected by the coronavirus.		,0,0.00044418624,0.0,假新闻
 Tips against coronavirus like holding your breath and drinking water.		,0,0.00041570514,0.0,假新闻
 A video of chaos in a shop claims people are panicking after the first confirmed case of coronavirus in Lithuania.		,0,0.00042540336,0.0,假新闻
 Summer temperatures will make coronavirus disappear.		,0,0.00042051787,0.0,假新闻
" A man with a gas mask at a supermarket in Lugo (Galicia, Spain).		",0,0.00042650872,0.0,假新闻
 Authorities should implement temperature tests to travelers from China.		,0,0.00043664177,0.0,假新闻
 Video of a person infected with coronavirus being detained by the police.		,0,0.00043685173,0.0,假新闻
" A man with a gas mask at a supermarket in Lugo (Galicia, Spain).		",0,0.00042650872,0.0,假新闻
 A video shows people storming an Aldi supermarket to buy groceries because of coronavirus fear.		,0,0.00037909136,0.0,假新闻
" This virus must be old because the label on a bottle of disinfectant from 2015 shows ""coronavirus"".		",0,0.00041050251,0.0,假新闻
 A video says the Vatican confirmed Pope Francis and two aides tested positive for coronavirus.		,0,0.00041858453,0.0,假新闻
 Pope Francis and two aides tested positive for coronavirus.		,0,0.00044762605,0.0,假新闻
" Photo shows a man wearing a ""government issued Saint Laurent hazardous materials suit.""		",0,0.0004177626,0.0,假新闻
 Post says no one has died from the coronavirus in the United States.		,0,0.00042424386,0.0,假新闻
 Plant-based cure for coronavirus discovered in Iran.		,0,0.0004265657,0.0,假新闻
 3.000 people from Elche (Spain) are infected with the coronavirus after coming back from Milan's international footwear industry fair.		,0,0.0004369067,0.0,假新闻
 Journalist claims a coronavirus patient was murdered.		,0,0.00042608308,0.0,假新闻
" Post says ""sanitizer will do nothing for the coronavirus.""		",0,0.00040708823,0.0,假新闻
" Post says two patients at Valley Regional Medical Center in Brownsville, Texas, ""are being looked at"" for possible coronavirus infections.		",0,0.00041350914,0.0,假新闻
 The photos show Indians bathing in cow dung to prevent infection.		,0,0.00041507924,0.0,假新闻
 This video shows dead coronavirus victims amassed in the Bergamo (or Brescia) hospital.		,0,0.00036307843,0.0,假新闻
" Video claims that ""The health system is collapsing"" in North Macedonia.		",0,0.00036792524,0.0,假新闻
 You can't get infected by kissing the hands of a virgin or saint statue.		,0,0.00044516588,0.0,假新闻
 Ads are selling masks protecting against COVID-19.		,0,0.00042440897,0.0,假新闻
" ""With regard to the cost, let me be very clear",0,0.00038857307,0.0,假新闻
" ""The Obama administration made a decision on testing that turned out to be very detrimental to what we're doing"" on the coronavirus.		",0,0.0004163189,0.0,假新闻
" The Obama administration ""didn't do anything about"" swine flu.		",0,0.0003918381,0.0,假新闻
 Does France underestimate the outbreak?		,0,0.00040716003,0.0,假新闻
 A confidential governmental document proves that the government has decided to postpone local elections in France because of the outbreak.		,0,0.0004007486,0.0,假新闻
 There is a connection between 5G and Covid-19.		,0,0.0004293659,0.0,假新闻
" A post says that there is a movie that predicted the pandemic and it's called ""Coronavirus"".		",0,0.0004006603,0.0,假新闻
 Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.		,0,0.00041359826,0.0,假新闻
 No work in several regions of Spain due to coronavirus.		,0,0.00044257776,0.0,假新闻
 38 % of Americans won't buy Corona beer due to the coronavirus.		,0,0.00042296248,0.0,假新闻
 Medical report of Hospital General Universitario Santa Luc¡a de Cartagena (Murcia) from a person with possible coronavirus.		,0,0.00044309764,0.0,假新闻
" It is a designed virus ordered to laboratories by Christine Lagarde when she was in the IMF. She said that ""old people live too long and this is a risk for the global economy. We must do something, urgently.""		",0,0.00043692626,0.0,假新闻
" ""Anybody that wants a test (for the coronavirus) can get a test.""		",0,0.00039168418,0.0,假新闻
 People can't use the right of withdrawal at work because of the outbreak.		,0,0.0004457381,0.0,假新闻
 5G is accelerating the spread of the new coronavirus.		,0,0.0004400639,0.0,假新闻
 A second version of the coronavirus is spreading and it is far more dangerous.		,0,0.00041044224,0.0,假新闻
 Hundreds of Italian families are running away from the virus to Africa.		,0,0.00039024945,0.0,假新闻
 This laboratory is giving money to people who would agree to be infected with the novel coronavirus.		,0,0.00042253267,0.0,假新闻
 Video shows reciting Namaaz and Quran is the only treatment for COVID-19.		,0,0.00041235684,0.0,假新闻
 Availability of a kit for coronavirus self-diagnosis.		,0,0.0004254959,0.0,假新闻
 Availability of a kit for coronavirus self-diagnosis.		,0,0.0004254959,0.0,假新闻
 A kit for coronavirus self-diagnosis is available.		,0,0.00041113605,0.0,假新闻
 The bill for a coronavirus test in the US is 3.000$.		,0,0.00041424483,0.0,假新闻
 EvAU's exam is postponed to June 18 in Madrid.		,0,0.00044723178,0.0,假新闻
 This Lysol disinfectant against coronavirus shows the virus is not new.		,0,0.00042574474,0.0,假新闻
 Madrid's government has announced students will have to make-up classes during summer.		,0,0.0004444833,0.0,假新闻
