text,true_label,pred_prob,pred_label,pred_cat
 Tencent revealed the real number of deaths.		,0,0.0004167809,0.0,假新闻
 This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011.		,0,0.00039442876,0.0,假新闻
 A video shows people screaming in Wuhan because they feared the coronavirus.		,0,0.0004403947,0.0,假新闻
 Garlic water can cure novel coronavirus.		,0,0.00040068786,0.0,假新闻
 Coronavirus is found in broiler chicken.		,0,0.0004461302,0.0,假新闻
 There is a case of coronavirus in Caserta.		,0,0.0003815163,0.0,假新闻
 There is a case of coronavirus in Andorra.		,0,0.0003815163,0.0,假新闻
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,0.00044890767,0.0,假新闻
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,0.00044890767,0.0,假新闻
" Videos state that 25,000 Chinese are being killed.		",0,0.0004454283,0.0,假新闻
 Hand sanitizer form 2010 is labeled against COVID-19.		,0,0.0004218394,0.0,假新闻
" This is a person with coronavirus in Calella, Barcelona (2/13/20).		",0,0.00038341808,0.0,假新闻
" This photo is a ""chinese tapa""?from a bat.		",0,0.0004318203,0.0,假新闻
 High-rise buildings have become human incinerators to combat the spread of the coronavirus.		,0,0.00043940125,0.0,假新闻
 There is a COVID-19 case in east Indian state.		,0,0.00039180892,0.0,假新闻
 Black skin is resistant to coronavirus.		,0,0.0004341235,0.0,假新闻
 This bottle of disinfectant gel proves that the coronavirus existed before 2019.		,0,0.00041181175,0.0,假新闻
 Data shows a massive release of sulfur dioxide gas near Wuhan.		,0,0.0004332199,0.0,假新闻
 This video shows corpses on the streets of Wuhan.		,0,0.00039861447,0.0,假新闻
 Coronavirus is a biological warfare weapon.		,0,0.0004187159,0.0,假新闻
" The 2008 book ""End of Days"" predicted the current coronavirus outbreak.		",0,0.00044569984,0.0,假新闻
" A video says ""the coronavirus was invented and patented in the USA and then planted in China.""		",0,0.0004287685,0.0,假新闻
 Pigs are buried alive due to coronavirus.		,0,0.0004203976,0.0,假新闻
" Post says ""people of color may be immune to the coronavirus because of melanin.""		",0,0.00041270623,0.0,假新闻
" Years ago, there was a hand sanitizer active against Sars-Cov-2.		",0,0.00040729943,0.0,假新闻
" There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",0,0.00042817925,0.0,假新闻
" ""The coronavirus is the common cold, folks.""		",0,0.00041419352,0.0,假新闻
" The mortality rate for the flu is ""right around"" that of the new coronavirus",0,0.00044536588,0.0,假新闻
 President Trump claims the virus is under control and testing is available.		,0,0.00044497356,0.0,假新闻
 Is it useful to close borders to stop the outbreak?		,0,0.00038425633,0.0,假新闻
